,Time,User,Tweet
0,2022-10-23 15:00:10+00:00,807095,"Moist and tender, delicately flavored with pumpkin and cinnamon, this humble loaf needs no bells and whistles. 
https://t.co/cOZmW1Jmqt https://t.co/zgi1T3cBN0"
1,2022-10-23 14:55:05+00:00,807095,Mayor Eric Adams has struggled to respond to thousands of migrants arriving in New York City on buses — and he has received criticism from every corner. https://t.co/g5eaBpFnpa
2,2022-10-23 14:40:06+00:00,807095,"An expected winter rise in Covid cases appears poised to collide with a resurgent flu season and a third virus, RSV, which is straining pediatric hospitals in some states. It could all lead to a ""tripledemic."" https://t.co/pNpVDS9vhd"
3,2022-10-23 14:30:07+00:00,807095,"🟨🟩 Wordle 491 is breaking a lot of streaks. 🟨🟩 

About 25% of players are losing today's puzzle (usually it's only 1-2%). https://t.co/fgEBQQpx9w https://t.co/JnacNOjVpU"
4,2022-10-23 14:25:45+00:00,807095,"Hurricane Roslyn made landfall in west-central Mexico early Sunday morning, bringing damaging winds and a life-threatening storm surge to cities along the country's Pacific Coast, forecasters said. https://t.co/A9bM4dp8pl"
,Time,User,Tweet
0,2022-10-23 15:00:10+00:00,807095,"Moist and tender, delicately flavored with pumpkin and cinnamon, this humble loaf needs no bells and whistles. 
https://t.co/cOZmW1Jmqt https://t.co/zgi1T3cBN0"
1,2022-10-23 14:55:05+00:00,807095,Mayor Eric Adams has struggled to respond to thousands of migrants arriving in New York City on buses — and he has received criticism from every corner. https://t.co/g5eaBpFnpa
2,2022-10-23 14:40:06+00:00,807095,"An expected winter rise in Covid cases appears poised to collide with a resurgent flu season and a third virus, RSV, which is straining pediatric hospitals in some states. It could all lead to a ""tripledemic."" https://t.co/pNpVDS9vhd"
3,2022-10-23 14:30:07+00:00,807095,"🟨🟩 Wordle 491 is breaking a lot of streaks. 🟨🟩 

About 25% of players are losing today's puzzle (usually it's only 1-2%). https://t.co/fgEBQQpx9w https://t.co/JnacNOjVpU"
4,2022-10-23 14:25:45+00:00,807095,"Hurricane Roslyn made landfall in west-central Mexico early Sunday morning, bringing damaging winds and a life-threatening storm surge to cities along the country's Pacific Coast, forecasters said. https://t.co/A9bM4dp8pl"
,Time,User,Tweet
0,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
1,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
2,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
3,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
4,2022-10-27 12:45:07+00:00,807095,"Thursday is the 50th anniversary of Stevie Wonder’s landmark album “Talking Book.”⁣ Here are track-by-track reflections from some of the countless musicians it inspired. 
https://t.co/T130mEJ6ZE https://t.co/cQGfikKhca"
,Time,User,Tweet
0,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
1,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
2,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
3,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
4,2022-10-27 12:45:07+00:00,807095,"Thursday is the 50th anniversary of Stevie Wonder’s landmark album “Talking Book.”⁣ Here are track-by-track reflections from some of the countless musicians it inspired. 
https://t.co/T130mEJ6ZE https://t.co/cQGfikKhca"
,Time,User,Tweet
0,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
1,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
2,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
3,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
4,2022-10-27 12:45:07+00:00,807095,"Thursday is the 50th anniversary of Stevie Wonder’s landmark album “Talking Book.”⁣ Here are track-by-track reflections from some of the countless musicians it inspired. 
https://t.co/T130mEJ6ZE https://t.co/cQGfikKhca"
,Time,User,Tweet
0,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
1,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
2,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
3,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
4,2022-10-27 12:45:07+00:00,807095,"Thursday is the 50th anniversary of Stevie Wonder’s landmark album “Talking Book.”⁣ Here are track-by-track reflections from some of the countless musicians it inspired. 
https://t.co/T130mEJ6ZE https://t.co/cQGfikKhca"
,Time,User,Tweet
0,2022-10-27 13:40:05+00:00,807095,"🟨🟩 How did you do in Wordle today? 🟨🟩  

It's taken the average player 4 guesses. https://t.co/8R6rRDaYEa https://t.co/Oo3x5ElsFp"
1,2022-10-27 13:29:03+00:00,807095,"New Yorkers are falling ill with new variants of Covid and old illnesses like flu and RSV that masking and other precautions once held at bay.

With most testing now done at home, it is hard to get a picture of the amount of virus circulating. https://t.co/j32OzYYfZv"
2,2022-10-27 13:15:03+00:00,807095,"The war in Ukraine is likely to speed up, not slow down, the global shift toward renewable energy sources, the International Energy Agency said.
https://t.co/pt2vGGVLPe"
3,2022-10-27 13:05:03+00:00,807095,"The footwear company Skechers said that Kanye West, also known as Ye, had come to its corporate offices in Los Angeles ""unannounced and uninvited"" and was escorted from the building, where he had been ""engaged in unauthorized filming."" https://t.co/6ZIpEsIzvX https://t.co/md8uSignnH"
4,2022-10-27 13:00:09+00:00,807095,RT @deanbaquet: I haven't tweeted in 8 years but I'm so excited to work with the next generation of investigative reporters. Apply for the…
